pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,,no.,sequential,random
50,c,11,2,46,2,,,,,131.6345932,132.6321802,132.6321802,132.6321802,132.6321802,132.6483753,133.6295028,133.6295028,c,1,0.2516065,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,11,3,47,3,,,,,133.9117064,134.9090131,134.9090131,134.9090131,134.9090131,134.9254864,135.9063207,135.9063207,z,1,0.2475553,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,0,0,0,0,136.1741252,137.1697757,137.1697757,137.1697757,137.1697757,137.1859544,138.1668387,138.1668387,x,1,0.2739098,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,0,1,1,0,138.4658411,139.4634758,139.4634758,139.4634758,139.4634758,139.4799195,140.4604787,140.4604787,v,0,0.3561483,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,0,2,2,1,140.8426637,141.8401792,141.8401792,141.8401792,141.8401792,141.8565086,142.8376403,142.8376403,v,1,0.4845336,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,0,3,3,2,143.3524634,144.3501405,144.3501405,144.3501405,144.3501405,144.3663622,145.3473843,145.3473843,c,1,0.3240906,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,1,0,4,1,145.6958056,146.6930234,146.6930234,146.6930234,146.6930234,146.7095986,147.6902461,147.6902461,v,1,0.5972278,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,1,1,5,0,148.3055148,149.3026458,149.3026458,149.3026458,149.3026458,149.3194847,150.3000165,150.3000165,x,1,0.751264,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,1,2,6,0,151.0811957,152.0785365,152.0785365,152.0785365,152.0785365,152.0954147,153.0757349,153.0757349,x,1,0.4984079,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,1,3,7,2,153.5911457,154.588474,154.588474,154.588474,154.588474,154.6050638,155.5858028,155.5858028,c,1,0.4802077,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,2,0,8,0,156.0842437,157.0819131,157.0819131,157.0819131,157.0819131,157.0983378,158.0788555,158.0788555,x,1,0.6832047,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,2,1,9,2,158.7935828,159.79088,159.79088,159.79088,159.79088,159.80754,160.7880951,160.7880951,c,1,0.6364705,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
