trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
97,0,97,0,5,270.6998446,270.6998446,0.0275728,[-0.13703703703703704],[0.022222222222222223],[1],[0],[0],[1.90966030000709],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
98,0,98,0,5,272.6442161,272.6442161,0.0267025,[-0.287962962962963],[0.2574074074074074],[1],[0],[0],[1.9425538999494165],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
99,0,99,0,5,274.6169476,274.6169476,0.0236757,[0.11296296296296296],[-0.45740740740740743],[1],[0],[0],[2.414003200130537],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
100,0,100,0,5,277.0604504,277.0604504,0.0246673,[-0.4564814814814815],[-0.014814814814814815],[1],[0],[0],[1.8463415999431163],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
101,0,101,0,10,275.3787979,275.3787979,0.0388761,[0.19537037037037036],[-0.008333333333333333],[1],[0],[0],[1.6676230998709798],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
102,0,102,0,5,277.0782139,277.0782139,0.0244745,[-0.21203703703703702],[-0.12222222222222222],[1],[0],[0],[1.8105518999509513],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
103,0,103,0,5,278.9141403,278.9141403,0.0186109,[0.3472222222222222],[0.05925925925925926],[1],[0],[0],[1.9195808998774737],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
104,0,104,0,5,280.8689408,280.8689408,0.0272094,[0.1814814814814815],[-0.4287037037037037],[1],[0],[0],[2.5917811000254005],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
105,0,105,0,5,283.4902755,283.4902755,0.0247087,[0.13518518518518519],[-0.14537037037037037],[1],[0],[0],[1.630804899847135],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
106,0,106,0,5,285.1487055,285.1487055,0.0212357,[-0.31296296296296294],[-0.34629629629629627],[1],[0],[0],[3.863086000084877],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
107,0,107,0,10,289.0352732,289.0352732,0.0216818,[-0.44074074074074077],[0.1787037037037037],[1],[0],[0],[3.2666527999099344],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
108,0,108,0,5,292.3353503,292.3353503,0.0266614,[-0.2972222222222222],[0.040740740740740744],[1],[0],[0],[3.2749274999368936],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
109,0,109,0,5,295.628925,295.628925,0.0162494,[-0.23796296296296296],[0.062037037037037036],[1],[0],[0],[1.6888564000837505],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
110,0,110,0,5,297.3586702,297.3586702,0.0323893,[-0.18703703703703703],[0.07777777777777778],[1],[0],[0],[1.5908838999457657],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
111,0,111,0,5,298.9890377,298.9890377,0.0298521,[-0.10092592592592593],[-0.33240740740740743],[1],[0],[0],[1.5085201000329107],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
112,0,112,0,10,300.5283839,300.5283839,0.0233601,[-0.44814814814814813],[-0.4537037037037037],[1],[0],[0],[2.182192899985239],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
113,0,113,0,5,302.7209791,302.7209791,0.0124819,[0.48055555555555557],[-0.3861111111111111],[1],[0],[0],[2.7253228998742998],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
114,0,114,0,10,305.4952317,305.4952317,0.0316377,[-0.025],[-0.08796296296296297],[1],[0],[0],[2.4211832999717444],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
115,0,115,0,5,307.9333116,307.9333116,0.0178142,[0.44814814814814813],[0.3138888888888889],[1],[0],[0],[2.1677627000026405],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
116,0,116,0,5,310.1383617,310.1383617,0.0276129,[-0.387037037037037],[0.325],[1],[0],[0],[1.7581326998770237],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
117,0,117,0,5,311.9288989,311.9288989,0.0232121,[0.1425925925925926],[0.04722222222222222],[1],[0],[0],[1.5495686000213027],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
118,0,118,0,5,313.5084806,313.5084806,0.0233243,[0.13055555555555556],[0.2861111111111111],[1],[0],[0],[1.5491054998710752],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
119,0,119,0,5,315.0884428,315.0884428,0.0256496,[-0.14629629629629629],[-0.1388888888888889],[1],[0],[0],[1.7794685999397188],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
120,0,120,0,5,316.9020491,316.9020491,0.0264133,[-0.08055555555555556],[0.36203703703703705],[1],[0],[0],[2.393296099966392],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
